Name,Year Membership
Li Wai-yee,2008
Li Xiangqian,2008
Li Xinhai,2008
Liang Xinjun,2008
Lisa Kropman,2008
Liu Shichun,2008
Liz Lloyd,2008
Lu Weiding,2008
Luca Garavoglia,2008
Luis Camargo,2008
Luo Weibing,2008
Lydia Polgreen,2008
Makarem Batterjee,2008
Marcela Bilek,2008
Mark Leonard,2008
Mark Weldon,2008
Mark Williams,2008
Martin Lousteau,2008
Mattias Klum,2008
Mehdi Amjad,2008
Meher Pudumjee,2008
Melanie Kreis-Wilczak,2008
Merieme Chadid,2008
Mia Hamm,2008
Michael Jordaan,2008
Michael Ma Jun,2008
Michelle A. Peluso,2008
Michelle M. Wu,2008
Mohamed Elkeiy,2008
Mohammed Ali Al Hashimi,2008
Mugo Kibati,2008
Muhammad Lutfi,2008
Munizae Jahangir,2008
Murat ôzyegin,2008
Naomi Kawase,2008
Nasser Al Shaali,2008
Nasser Alshaali,2008
Natalie Du Toit,2008
Neil Ashe,2008
Nicole Nason,2008
Nikolay Pryanishnikov,2008
Norika Fujiwara,2008
Omar Ghanim,2008
Omar K. Alghanim,2008
Parinda Hasdarngkul,2008
Patrick Ramsey,2008
Paul Chan,2008
Paul van Zyl,2008
Peng Xiaofeng,2008
Pia Singh,2008
Pierre Gentin,2008
Pooja Shetty,2008
Rama Yade,2008
Ratul Puri,2008
Ricardo Villela Marino,2008
Risa Wataya,2008
Rob Speyer,2008
Rodney E. Hood,2008
Rodrigo HÅbner Mendes,2008
Rory Stewart,2008
Roy C. Harvey,2008
Rula Jebreal,2008
Sabeer Bhtia,2008
Sachin Pilot,2008
Sandeep Parekh,2008
Sara Hossain,2008
Sarah Chang,2008
Se-hong Hur,2008
Severin Schwan,2008
Shakira Mebarak,2008
Shen Bing,2008
Somaly Mam,2008
Soraya Salti,2008
Soren Eriksen,2008
Steffi Graf,2008
Stephanie Pullings Hart,2008
Su Xianze,2008
Suhas Gopinath,2008
Sunette Pienaar-Steyn,2008
Susan Athey,2008
Taku Otsuka,2008
Tariq Krim,2008
Teruhide Sato,2008
Theodore Ernest Els,2008
Thomas Buberl,2008
Thomas T. Lembong,2008
Tomoaki Nigo Nagao,2008
Trilochan Sastry,2008
Tristan Lecomte,2008
Tumi Makgabo,2008
Umit Kumcuoglu,2008
Vikram K. Akula,2008
Wadah Khanfar,2008
Wang Weixian,2008
Wei Dong,2008
William Foote,2008
Wilmot Allen,2008
Xiangjun Liu,2008
Xin Zhou,2008
Yannick BollorÇ,2008
Yiyun Li,2008
Yolanda Cuba,2008
Yusuke Hatori,2008
Zac Goldsmith,2008
Zhang Donghai,2008
Zhong Biao,2008
Zhou Hongyi,2008
Zhu Jun,2008
A. C. Wahid,2009
Abdulsalam Haykal,2009
Adria Greene,2009
Akinwale Ojomo,2009
Alan Knott-Craig,2009
Aleh Tsyvinski,2009
Alessia Maria Mosca,2009
Alexander Stubb,2009
Alexandros Manos,2009
Amit Wanchoo,2009
Andre Faai,2009
Andrej Nabergoj,2009
Andrew Wales,2009
Anies Baswedan,2009
Anthony Miller,2009
Antonio Simoes,2009
Arif Dowla,2009
Ashok Vemuri,2009
Ba Shusong,2009
Benjamin Gray,2009
Bhavneet Singh,2009
Bjarte Reve,2009
Boria Majumdar,2009
Boris Nikolic,2009
Brent Hoberman,2009
Brent Stirton,2009
Butet Manurung,2009
Caroline Boudreaux,2009
Chad Hurley,2009
Chikara Funabashi,2009
Christian Wenk,2009
Christoph Sutter,2009
Christopher De Souza,2009
Christopher Logan,2009
Dambisa Moyo,2009
Damian Gammell,2009
David Chiu,2009
David Novak,2009
David Thai,2009
Deng Yaping,2009
Dora Li,2009
Eboo Patel,2009
Efrat Peled,2009
Elena Barmakova,2009
Elias Pungong,2009
Emilia Sic†kov†-Beblav†,2009
Eunice Olsen,2009
Faisel Rahman,2009
Fawzia Koofi,2009
Felix Maradiaga,2009
Fidel Jonah,2009
Franáois-Philippe Champagne,2009
FX de Mallmann,2009
Ganhuyag Chuluun Hutag,2009
Geoff Davis,2009
Habib Haddad,2009
Hamish Douglas,2009
Hideyuki Inoue,2009
